算盘,abacus
领土,domain
圆屋顶,dome
驯养,domesticate
家庭生活,domesticity
穿衣,don
冬眠的,dormant
背部的,dorsal
剂量,dose
卷宗,dossier
老年糊涂,dotage
溺爱,dote
溺爱的,doting
把⋯浸入水中,douse
不整洁的,dowdy
绒毛,down
意志消沉的,downcast
枯黄色的,drab
乏味,drabness
排水,drainage
吊桥,drawbridge
慢吞吞说,drawl
沉闷的,dreary
用挖泥机疏浚,dredge
挖泥船,dredger
渣滓,dregs
湿透的,drenched
往下滴,dribble
下毛毛雨,drizzle
毛毛细雨的,drizzly
古怪的,droll
滑稽,drollery
嗡嗡地响,drone
浮渣,dross
畜群,drove
劳碌,drudge
双重的,dual
易拉长的,ductile
决斗,duel
二重唱,duet
悦耳的,dulcet
蠢材,dunce
沙丘,dune
受骗的人,dupe
欺骗,duplicity
持续的时间,duration
协迫,duress
侏儒,dwarf
日渐减少,dwindle
动态的,dynamic
炸药,dynamite
发电机,dynamo
阅读,dyslexia
消化不良,dyspepsia
耳环,earring
屋檐,eaves
偷听,eavesdrop
退潮衰退,ebb
兴高采烈,ebullience
兴冲冲的,ebullient
古怪的,eccentric
反常,eccentricity
蜕皮,ecdysis
折衷的,eclectic
折衷主义,eclecticism
日,eclipse
田园诗,eclogue
节省,economize
狂喜,ecstasy
狂喜的,ecstatic
漩涡,eddy
法令命令,edict
宏伟的建筑物如宫殿,edifice
陶冶,edify
陶冶教诲,edification
擦掉,efface
柔弱的,effeminate
冒泡,effervesce
无生产力的,effete
假人,effigy
不费力的,effortless
厚颜无耻,effrontery
光辉的,effulgent
灿烂的光,effulgence
流出的,effusive
自我中心的,egocentric
主张人人平等的,egalitarian
过份的,egregious
出去,egress
突然叫出或说出,ejaculate
　突然大叫,ejaculation,n
喷出逐出,eject
精致的复杂的,elaborate
详尽地说明,elaborate
　详细说明,elaboration,n
消逝,elapse
有弹性的,elastic
伸缩力,elasticity,弹性
振奋的,elated,得意洋洋的
得意振奋,elation
选民,electorate
哀歌挽歌,elegy
笨拙的,elephantine
探出,elicit,引出
适合被选的,eligible
除去,eliminate
精华,elite
精英论,elitism
椭圆,ellipse
　省略,ellipsis,n
榆树,elm
演说术,elocution
延长,elongate
延伸,elongation
私奔,elope
雄辩的,eloquent
雄辩,eloquence
阐明　说明,elucidate
逃避,elude
难懂的,elusive
使瘦弱,emaciate
瘦弱的,emaciated
解放,emancipate
释放,emancipation
堤岸,embankment
禁运令,embargo
牢牢插于,embed
润饰,embellish,装饰
盗用,embezzle
贪污,embezzlement
使痛苦,embitter
象征,emblem
作为象征的,emblematic
表达,embody
化身,embodiment
加浮雕花纹于,emboss
刺绣,embroider
刺绣,embroidery
牵连,embroil
胚胎,embryo
胚胎的,embryonic
订正,emend
订正,emendation
祖母绿,emerald
出现,emerge
出现,emergence
紧急事件,emergency
自本国移居他国,emigrate
著名的显著的,eminent
卓越杰出,eminence
密使,emissary
放射,emit
发出,emission
润肤剂,emollient
报酬,emolument
　激动地表达感情,emote,v
心意相通,empathy
经验的实证的,empirical
经验主义,empiricism
雇用,employ
天空天神居处,empyrean
天空的,empyreal
努力赶上或超越,emulate
竞争,emulation
使乳化,emulsify
制定,enact
颁布,enactment
珍爱的,enamoured
装入胶囊,encapsulate
脑炎,encephalitis
使迷醉,enchant
讨人喜欢的,enchanting
着魔,enchantment
译成密码,encipher
圈地,enclosure
赞颂,encomium
包围围绕,encompass
侵占,encroach
侵入,encroachment
妨害,encumber
妨碍物,encumbrance
广博的,encyclopedic
亲爱的行为或话语,endearment
地方性的,endemic
背书,endorsement
endue
使虚弱,enervate
给予选举权,enfranchise
迷人的,engaging
产生,engender
全神贯注于,engross
引人入胜的,engrossing
吞噬,engulf
增加,enhancement
谜,enigma
神秘的,enigmatic
命令,enjoin
煽动,enkindle
开明的,enlightened
教化,enlightenment
入伍从军,enlist
征兵,enlistment
绊住,enmesh
敌意,enmity
极恶,enormity
极大的,enormous
使狂喜,enrapture
安置,ensconce
全体,ensemble
奉为神圣,enshrine
舰旗,ensign
诱入陷阱,ensnare
使纠缠,entangle
纠缠,entanglement
有进取心的,enterprising
迷惑,enthrall
纵恿,entice
诱骗,enticement
使有权,entitle
实体,entity
昆虫学,entomology
恳求,entreat
恳求,entreaty
确立的,entrenched
企业家,entrepreneur
委托,entrust
使缠绕,entwine
列举　枚举,enumerate
发音,enunciate
阐明,enunciation
郊外,environs
正视,envisage
酵素,enzyme
肩章,epaulet
朝生暮死的,ephemeral
美食家,epicure
好享乐的　享乐主义的,epicurean
传染性的,epidemic
表皮,epidermis
警句,epigram
警句的,epigrammatic
收场白,epilogue
认识论,epistemology
书信,epistle
墓志铭,epitaph
短语或形容词,epithet
典型,epitome
纪元,epoch
稳定的,equable
镇定,equanimity
平衡,equilibrium
马的,equine
公平的,equitable
公平,equity
骑术,equitation
相等的,equivalent
相等,equivalence
意义含糊的,equivocal
模棱两可地说,equivocate
根除,eradicate
擦掉,erase
擦掉,erasure
腐蚀,erode
腐蚀,erosion
性爱的,erotic
差使,errand
错误的,errant
古怪的,erratic,反复无常的
代用的,ersatz
博学的,erudite
博学,erudition
爆发,erupt
爆发,eruption
升级,escalate
避开,eschew
护送者,escort,护送
秘传的,esoteric
间谍活动,espionage
拥护,espousal
支持,espouse
突然看到,espy
建立,establishment
等级,estate
使疏远,estrange
疏远,estrangement
河口,estuary
蚀刻,etch
蚀刻技术,etching
太空的,ethereal
人种学,ethnography
,ethos
礼仪　礼节,etiquette
语源学,etymology
桉树,eucalyptus
优生的,eugenic
颂扬的,eulogistic
颂词,eulogy
婉言,euphemism
悦耳的,euphonious
悦耳的语音,euphony
幸福愉快感,euphoria
匀称的　协调的,eurhythmic
撤退,evacuate
逃避,evade
逃避的,evasive
短暂的,evanescent
使平,even,平坦的
性情平和的,even-tempered
驱逐,evict
表明,evince
取出肠及内脏,eviscerate
引起,evoke
激起的,evocative,唤起的
大口水罐,ewer
加重,exacerbate
苛求的,exacting
强求,exaction
夸张,exaggerate
夸张,exaggeration
赞扬,exalt
得意,exaltation
激怒,exasperate
激怒,exasperation
挖掘,excavate
挖掘,excavation
超过,exceed
过份地,exceedingly
善于,excel
例外,exception
引起反感的,exceptionable
特别的,exceptional
过份荒淫的行为,excesses
国库,exchequer
切除,excise
切除,excision
排斥,exclude
拒绝,exclusion
专用的,exclusive
想出,excogitate
撕去皮,excoriate
开脱,exculpate
短途旅游,excursion
憎恶,execrate
　极坏的,execrable,adj
刽子手,executioner
经理,executive
遗嘱执行人,executor
严肃解释注释,exegesis
被免除的,exempt
免除,exemption
运用,exert
努力,exertion
呼出,exhale
疲备,exhaustion
彻底的,exhaustive
风头主义,exhibitionism
喜欢出风头的人,exhibitionist
使高兴,exhilarate
使人兴奋的,exhilarating
力劝,exhort
劝告,exhortation
掘出,exhume
太少的,exiguous
放逐,exile
大批离去,exodus
异族通婚,exogamy
免除责任,exonerate
过份的,exorbitant
驱魔,exorcize
驱鬼,exorcism
珍奇的,exotic
扩大,expand
扩张,expansion
驱逐出国,expatriate
方便,expediency
使加速,expedite
远征,expedition
迅速的,expeditious
排出,expel
驱逐,expulsion
花费,expend
消耗,expenditure
可耗尽的,expendable
专技,expertise
赎罪,expiate
期满,expire
期满,expiration
可解释的,explicable
详细解说,explicate
清楚明确的,explicit
剥削,exploit
探险,explore
探险,exploration
说明者,exponent
阐释,exposition
抗议,expostulate
解释,expound
清楚地,expressly
充公,expropriate
删除,expunge
净化,expurgate
精致的,exquisite
现存的,extant
即席演说,extemporize
掩饰,extenuate
消灭,exterminate
绝种的,extinct
熄灭,extinction
消灭,extirpate
赞美,extol
强索,extort
强取,extortion
引渡回国,extradite
外来的,extraneous
预测,extrapolate
无节制的,extravagant,奢侈的
极度,extremity
拯救,extricate
性格外向者,extrovert
外在的,extrinsic
茂盛的,exuberant
使慢慢流出,exude
欢腾,exult
愉悦的,exultant
纺织品,fabric
控造,fabricate
难以置信的,fabulous
建筑物的正面,facade
轻浮的,facetious
容易做的,facile
使容易,facilitate
设备工具,facilities
复制本,facsimile
派系,faction
有派性的,factious
人为的,factitious
杂役,factotum
狂热,fad
流行一时的,faddish
苦干苦工,fag
神仙,fairy
仙境,fairyland
伪造,fake
猎鹰,falcon
谬误,fallacy
欺骗的,fallacious
会犯错的,fallible
休闲地,fallow
窜改,falsify
窜改,falsification
精通,familiarity
使饥饿,famish
非常饥饿的,famished
狂热的,fanatic
盲信,fanaticism,狂热
夸耀,fanfare
尖牙,fang
幻想曲,fantasia
怪诞的,fantastic
闹剧,farce
交通费,fare
影响深远的,far-reaching
生产一窝小猪,farrow
饰带,fascia
迷惑,fascinate
迷人的,fascinating
魅力,fascination
难取悦的,fastidious
要塞,fastness
宿命,fatality
英　彻底明白,fathom
深不可测的,fathomless
疲乏,fatigue
愚味而不自知的,fatuous
　愚蠢,fatuity,n
水龙头,faucet
错误,fault
动物区系,fauna
未满周岁的小鹿,fawn
奉承的,fawning
效忠,fealty
可行的,feasible
功绩,feat
发烧的,febrile
无目标无计划的,feckless
肥沃的,fecund
反馈,feedback
假装,feign
假装的,feigned
佯攻,feint
祝贺庆贺,felicitate
适当的,felicitous
幸福,felicity
猫科的,feline
兽皮,fell
重罪犯,felon
重罪,felony
女权运动者,feminist
剑术,fencing
剑客,fencer
挡泥板,fender
使发酵,ferment
发酵,fermentation
羊齿植物,fern
凶猛的,ferocious
凶猛,ferocity
雪貂,ferret
含铁的,ferrous
渡船,ferry
多产的,fertile
肥沃,fertility
热的,fervent
热诚,fervor
节日的,festal
欢乐的,festive
有恶臭的,fetid
神物,fetish
脚镣,fetter
被拘束的,fettered
宿怨,feud
大失败,fiasco
命令,fiat
易变的,fickle
假的虚构的,fictitious
忠实,fidelity
烦躁之人,fidget,坐立不安
烦躁的,fidgety
恶魔,fiend
极凶恶的,fiendish
残酷的,fierce
无花果,fig
虚构的东西,figment
比喻的,figurative
名义领袖,figurehead
小塑像,figurine
灯丝,filament
偷,filch
文件,file
文件,filings
子女的,filial
孝心,filial,piety
妨碍议事,filibuster
金银丝做的工艺品,filigree
fillet
肮脏,filth
龌龊的,filthy
应罚款的,finable
终曲,finale
雀科鸣禽如燕雀,finch
技巧计谋手段,finesse
苛求的,finicky
萤火虫,firefly
公款的,fiscal
渔场,fishery
易分裂的,fissile
裂缝,fissure
不安的,fitful
松软的,flabby
松驰的,flaccid
衰退,flag
枯萎的,flaggy
鞭打,flagellate
臭的,flagrant
连枷打,flail
天赋,flair
高射炮,flak
艳丽的,flamboyant
艳丽,flamboyance
易燃的,flammable
凸缘,flange
摇曳,flare
火焰摇曳的,flaring
烧瓶,flask
平台型铁路货车,flatcar
肠胃气胀,flatulence
炫耀,flaunt
香料,flavouring
完美的,flawless
亚麻,flax
剥皮,flay
斑点,fleck,n
羽毛长成的,fledged
刚学飞的幼鸟,fledgling,n
生羊皮,fleece
短暂的,fleeting
弯曲,flex
易弯曲的,flexible
轻打,flick
闪烁,flicker
轻而薄的,flimsy
畏缩,flinch
打火石,flint
极坚硬的,flinty
无礼的,flippant,adj
无礼,flippancy
挑逗,flirt
调情的,flirtatious
羊群,flock
松软的,floppy
植物群,flora
华丽的,florid
挣扎,flounder
比目鱼,flounder
蔑视,flout
波动,fluctuate
有绒毛的,fluffy
侥幸,fluke
考试不及格,flunk
萤光的,fluorescent
脸红,flush
使困惑,fluster
变迁,flux
草料,fodder
foetus
小缺点,foible
钝剑,foil
阻挠,foil
羊栏,fold
叶子,foliage
民俗学,folklore
煽动,foment
煽动,fomentation
抚弄,fondle
食料,foodstuff
鲁莽的,foolhardy
错不了的,foolproof
徒劳无功的工作,fool’s,errand
立足点,foothold
胡闹,footle
自由自在的,footloose
花花公子．,fop
浮华的,foppish
饲料,forage
为动物寻找饲料的人,forager
突袭,foray
自制,forbearance
忍耐的,forbearing
冷峻的,forbidding
n钳子,forceps
浅滩,ford
预兆,forebode
预感,foreboding
排除,foreclose
法庭的,forensic
预兆,forerunner
先发制人,forestall
丧失,forfeit
丧失,forfeiture
铁匠铺,forge
伪造者,forger
伪造,forgery
放弃,forgo
孤独的,forlorn
样式,format
形成的,formative
可怕的,formidable
公式化,formulate
遗弃,forsake
誓绝,forswear
要塞,fort,n
堡垒,fortress
长处,forte
坚毅,fortitude
偶然的,fortuitous
辩论的场所,forum
大胆,forwardness
护城河,fosse
恶臭的,foul
沉没,founder
有四柱的床,four-poster
门厅,foyer
喧嚷,fracas
碎片,fraction
微小的,fractional
易怒的,fractious
骨折,fracture
易碎的,fragile
零碎的,fragmentary
脆弱的,frail
脆弱,frailty
陷害,frame-up
疯狂的,frantic
兄弟的,fraternal
同行,fraternity
欺诈,fraud
欺骗的,fraudulent
充满,fraught
吵架,fray
怪物,freak
雀斑,freckle
高速公路,freeway
狂乱的,frenetic
壁画,fresco
烦躁,fret
烦躁的,fretful
格子细工在木头上雕出各种图案,fretwork
横条,frieze
寒冷,frigidity
须边,fringe
蹦跳,frisk
活泼的,frisky
轻泛的,frivolous
轻浮,frivolity
嬉戏,frolic
快活的,frolicsome
,frond
不整洁的,frowzy
结果实,fructify
节约,frugality
挫败,frustrate
逃亡的,fugitive
杠杆支点,fulcrum
浓郁而强烈的,full-bodied
羽毛丰满的,full-fledged
猛烈抨击,fulminate
抨击,fulmination
虚情假意的,fulsome
虚情,fulsomeness
摸索,fumble
愤怒,fume
气味,fumes
以烟熏消毒,fumigate
小官,functionary
磨光,furbish
休假,furlough
犁沟,furrow
偷偷的,furtive
齐射,fusillade
大惊小怪,fuss
爱挑剔的,fussy
空洞的话,fustian
无用,futility
急促而不清楚地说,gabble
虻,gadfly
小工具,gadget
失言,gaffe
鹅群,gaggle
欢乐,gaiety
否认,gainsay
星群,galaxy
星系的,galactic
狂风,gale
胆汁,gall
勇敢的,gallant
勇敢,gallantry,n
船上的厨房,galley
飞奔,gallop
绞刑架,gallows
电镀,galvanize
雀跃,gambol
全音阶,gamut
雄鹅闲逛,gander
跳板,gangway
曲解,garble
栀子花,gardenia
巨大的,gargantuan
滴水嘴,gargoyle
俗丽的,garish
n花环,garland
衣服,garment
收藏,garner
装饰,garnish
阁楼顶楼小室,garret
唠叨的,garrulous
唠叨,garrulity
深长的伤口,gash
胃的,gastric
胃炎,gastritis,n
美食法,gastronomy
笨拙的,gauche
笨拙,gaucherie
俗丽的,gaudy
标准规格,gauge
憔悴的,gaunt
槌,gavel
凝视,gaze
地名词典,gazetteer
宝石,gem
造成,generate
发电机,generator
种类的类属的,generic
慷慨大方,generosity
创始,genesis
遗传的,genetic
遗传学,genetics
愉快的,genial
和蔼,geniality
类型,genre
曲膝半跪,genuflect
有密切关系的,germane
发芽,germinate
老人病学,gerontology
怀孕,gestation
做手势表达,gesticulate
天然热喷泉,geyser
嘲弄,gibe
镀金的,gilded
吸引人的花招,gimmick
姜,ginger
大梁,girder
腰带,girdle
要点,gist
林中的空地,glade
角斗士,gladiator
魅力,glamour
迷人的,glamorous
发出眩目光芒,glare
耀眼的,glaring
亮光,gleam
拾落穗,glean
拾落穗的人,gleaner
所拾得的落穗,gleanings
欢喜,glee
欢乐的,gleeful
流利圆滑的,glib
滑行,glide
滑翔机,glider,n
发微光,glimmer
瞥见,glimpse
闪烁,glisten
黄昏,gloaming
幸灾乐祸地看,gloat
黑暗,gloom
阴暗的,gloomy
光泽,gloss
光泽的,glossy
字汇表,glossary
怒目而视,glower
葡萄糖,glucose
供过于求,glut
粘的,glutinous
贪吃者,glutton
暴饮暴食,gluttony
多节的,gnarled
对小事斤斤计较,gnat
啃,gnaw
痛苦的,gnawing
片麻岩,gneiss
地下宝藏的守护神,gnome
格言的,gnomic
赶牛棒刺激,goad
贪婪地吃,gobble
高脚酒杯,goblet
大口吞咽,gollop
凝血,gore
满是血的,gory
峡谷贪婪地吃,gorge
美丽的,gorgeous
丑陋女人,gorgon
拼命吃,gormandize
小鹅,gosling
教义,gospel
蛛丝,gossamer
半圆凿,gouge
葫芦,gourd
嗜食者,gourmand
美食家,gourmet
统治,governance
嫁接,graft
谷仓,granary
壮丽,grandeur
adj夸张的,grandiloquent
浮夸的,grandiose
花岗石gran＋ite→颗粒状石头→花岗岩．,granite
粒状的,granular
使成颗粒,granulate
小粒,granule
图表的,graphic
贪心的,grasping
磨碎,grate
刺耳的,grating
感激的,grateful
使高兴,gratify
满足,gratification
无缘无故的,gratuitous
赏钱,gratuity
碎石,gravel
严肃,gravity
吃草,graze
初学者,greenhorn
花房,greenhouse
群居的,gregarious
烤架,gridiron
委屈,grievance
严重伤害的,grievous
烤,grill
银行,grille
冷酷的,grim
做鬼脸,grimace
磨碎,grind
枯燥乏味的工作,grind
磨刀石,grindstone
引起注意的,gripping
恐怖的,grisly
体弱的,groggy
马夫,groom,n
沙粒,grit
凹线,groove
摸索,grope
不确定的,gropingly
总的,gross
怪诞的,grotesque
牢骚,grouch
松鸡牢骚,grouse
小树林,grove
摇尾乞怜,grovel
乞怜者．,groveler
咆哮,growl
吝啬,grudge
勉强的,grudging
繁重而累人的,gruelling
令人毛骨悚然的,gruesome
喃喃诉苦,grumble
脾气暴躁的,grumpy
谨慎的,guarded
哄笑,guffaw
断头台,guillotine,n
罪行,guilt
深谷,gulch
海鸥,gull,n
易受骗的,gullible
吞食,gulp
涌出,gush
滔滔不绝的说话者,gusher
阵风,gust
品尝,gustation
爱好,gusto
没有勇气的,gutless
水槽,gutter
狼吞虎咽,guttle
喉的,guttural
支索,guy
大吃大喝,guzzle
妇人政治,gynecocracy
妇女的,gynecoid
旋转的旋转．,gyrate
自然环境,habitat
使习惯于,habituate
乱劈,hack
陈腐的,hackneyed
血友病,haemophilia
出血尤指大出血,haemorrhage
止血器,haemostat
柄,haft
憔悴的,haggard
争论,haggle
毛发的,hairy
平静的,halcyon
把⋯视为神圣,hallow
神圣的,hallowed
晕,halo
暂停前进,halt
踌躇的,halting
妨碍,hamper
柄,handle
飞机库,hangar
衣架,hanger
宿醉,hangover
不幸的,hapless
长篇演说,harangue
烦扰,harass
烦扰,harassment
先驱,harbinger
港,harbor
不屈的,hard-bitten
现实的,hardheaded
大胆,hardihood
耐寒的强壮的,hardy
使调和,harmonize
马具,harness
鱼叉,harpoon
键琴,harpsichord
凶恶的老妇,harridan
耙,harrow
悲痛的,harrowing
激烈的辩论,hassle
催促,hasten
船舱盖,hatch
扼杀,hatchet,短柄小斧
傲慢的,haughty
傲慢,haughtiness
常到,haunt
不易忘怀的,haunting
傲慢,hauteur
安息所,haven
肩背包,haversack,n
大破坏,havoc
隼鹰,hawk
沿街叫卖之小贩,hawker
粗绳,hawser
危险,hazard
有危险的,hazardous
标题,heading
堆,heap
谣传,hearsay
用力拉,heave
笨手笨脚的,heavy-handed
大屠杀,hecatomb
诘问,heckle
诘问别人之人,heckler
兴奋的,hectic
凌辱,hector
修剪过的树篱,hedge
刺猬,hedgehog
享乐主义,hedonism
享乐的,hedonistic
注意到,heed
足跟,heel
霸权,hegemony
可憎的,heinous
继承人,heir
女继承人,heiress
向阳植物,heliotrope
舵,helm
舵手,helmsman
头盔,helmet
奴隶,helot
一份或一客食物,helping
斧柄,helve
顺从妻子的,henpecked
肝炎,hepatitis
传令官,herald
草本植物的,herbaceous
食草的,herbivorous
兽群。聚集,herd
牧人,herdsman
异端邪说,heresy
异教徒,heretic
异端邪说的,heretical
遗产,heritage
密封的,hermetic
隐士,hermit
隐居处,hermitage
装腔作势的演说或行为,heroics
异端的,heterodox
异端邪说,heterodoxy
异类的,heterogeneous
砍伐,hew
六角形,hexagon
全盛时期,heyday
空隙,hiatus
冬眠,hibernate
冬眠,hibernation
芙蓉,hibiscus
兽皮,hide
顽固的,hidebound
讨厌的,hideous
阶层,hierarchy
象形文字,hieroglyph
自以为文化修养很高的人,highbrow
夸张的,high-flown
充满欢乐的,hilarious
欢乐,hilarity
柄,hilt
阻碍,hinder
妨碍,hindrance
铰链,hinge
内地,hinterland
河马,hippopotamus
多毛的,hirsute
作嘘声,hiss
组织学,histology
演戏的,histrionic
演戏,histrionics
搭便车,hitch
蜂房,hive
贮藏,hoard
嘶哑的,hoarse
灰白的,hoary
骗局,hoax
蹒跚,hobble
吊高,hoist
货舱,hold
中间空的,hollow
大屠杀,holocaust
亲笔信,holograph
手枪皮套,holster
效忠,homage
朴素的,homely
讲道术,homiletics
顺势疗法,homeopathy
同类的,homogeneous
使均匀,homogenize
同形异义字,homograph
细磨刀石,hone
汽车喇叭声,honk
酬劳金,honorarium
勋位,honours
头巾,hood
蒙混,hoodwink
蹄,hoof
钩钓钩,hook
钩形的,hooked
流氓,hooligan
箍,hoop
群众,horde
地平线,horizon
荷尔蒙,hormone
角,horn
测时法,horology
可怕的,horrendous
恐怖,horror
正菜前的开胃小菜,hors,d’,oeuvre
激励的,hortative
园艺学,horticulture
以水管浇洗,hosepipe,水管
好客,hospitality
东道主,host
人质,hostage
敌对的,hostile
敌对状态,hostility
温床,hotbed
困境,hot,water
猎狗。不断骚扰,hound
茅舍,hovel
翱翔,hover
吠,howl
嚎叫的人或动物,howler
粗野的女孩,hoyden
轴心,hub
嘈杂,hubbub
过份自傲,hubris
叫卖小贩,huckster,n
一堆人,huddle,挤成一堆
色彩,hue
愤怒的,huffy
废船,hulk
笨重的,hulking
外壳,hull
人道的,humane
人类,humanity
卑微的,humble
单调的,humdrum
潮湿的,humid
湿度,humidity
使屈辱,humiliate
谦逊,humility
蜂鸟,hummingbird
小园丘,hummock
纵容,humour
隆起,hump
直觉,hunch
大块,hunk
跳栏,hurdle
用力投掷,hurl
喧闹,hurly-burly
飓风,hurricane
耕种,husbandry
肃静,hush
外壳,husk
声音沙哑的,husky
非常活跃之人,hustler
杂种,hybrid
水龙头,hydrant
水化物,hydrate
土狼,hyena
卫生学,hygiene
赞美诗,hymn
夸张法,hyperbole
夸张的,hyperbolic
苛求的,hypercritical
过份敏感的,hypersensitive
连字号,hyphen
催眠状态,hypnosis
催眠的,hypnotic
忧郁症,hypochondria
忧郁症患者的,hypochondriac
伪善,hypocrisy
皮下注射的,hypodermic
斜边,hypotenuse
假设,hypothesis
假说的,hypothetical
歇斯底里症,hysteria
歇斯底里的,hysterical
冰柱,icicle
糖衣,icing
圣像,icon
攻击传统观念或风俗的人,iconoclast
认明,identification
认明,identify
意识,ideology
愚蠢,idiocy
愚蠢的人,idiot
特殊癖性或行为,idiosyncrasy
不做事的,idle
神像偶像,idol
偶像崇拜者,idolater
偶像崇拜的,idolatrous
田园生活,idyll
冰屋,igloo
火的,igneous
发光,ignite
卑鄙的,ignoble
羞耻,ignominy
可耻的,ignominious
无知者,ignoramus
无知,ignorance
非法,illegality
难读的,illegible
不合法的,illegitimate
气量狭窄的,illiberal
违法的,illicit
文盲的,illiterate
启示性的,illuminating
照明,illumination
虚幻的,illusory
举,illustration
著名的,illustrious
虚构的,imaginary
心智能力极低的人,imbecile
低能,imbecility
饮,imbibe
纠纷,imbroglio
灌输强烈的情感或意见,imbue,with
洁净的,immaculate
普遍存在的,immanent
无关紧要的,immaterial
立即刻不容缓,immediacy
太古的,immemorial
极大的,immense
巨大之物,immensity
浸入,immerse
沉入,immersion
即将发生的,imminent
急迫,imminence
无节制的,immoderate
牺牲,immolate
牺牲品,immolation
不道德的,immoral
不朽的,immortal
免疫的,immune
免疫,immunity
使免疫,immunize
监禁,immure
不变的,immutable
小鬼,imp
损害,impair
刺穿,impale
无法触及的,impalpable
传授,impart
公平的,impartial
僵局,impasse
慷慨激昂的,impassioned
无动于衷的,impassive
指摘,impeach
无瑕疵的,impeccable
不名一文的,impecunious
妨碍,impede
妨碍阻碍物,impediment
随身携带物,impedimenta
推进,impel
行将发生的,impending
不能穿透的,impenetrable
不悔悟的,impenitent
急需的,imperative
觉察不到的,imperceptible
使陷于危险中,imperil
傲慢的,imperious
不可渗透的,impermeable
模仿,impersonate
不恰当的,impertinent
冷静的,imperturbable
不能渗透的,impervious
推动力,impetus
冲动的,impetuous
难以满足的难平息的,implacable
注入,implant
工具,implement
牵连,implicate
牵连,implication
含蓄的,implicit
内爆,implode
向内破裂,implosion
哀求,implore
不智的,impolitic
无法衡量的,imponderable
强求,importune
不断要求的,importunate
征税,impose
壮丽的,imposing
冒充者,impostor
冒名顶替,imposture
无能的,impotent
使成赤贫,impoverish,v
咒语,imprecation
攻不破的,impregnable
怀孕,impregnate
经理人,impresario
易受影响的,impressionable
盖印,imprint
即席的,impromptu
不正当,impropriety
不顾将来的,improvident
即席而作,improvise
即席创作,improvisation
鲁莽的,impudent
指责,impugn
冲动,impulse
易冲动的,impulsive
免除惩罚,impunity
归咎,imputation
归咎于,impute,to
不注意的,inadvertent
不可剥夺的,inalienable
无意义的,inane
无意义,inanity
无生命的,inanimate
身体虚弱,inanition
举行就职典礼,inaugurate
天生的,inborn
白热的,incandescent
缺乏能力,incapacity
下狱,incarcerate
具有肉体的,incarnate
具体化,incarnation
放火的,incendiary
香,incense
刺激,incentive
开端,inception
疑惑,incertitude
无间断的,incessant
刚开始的,inchoate
焚化,incinerate
初期的,incipient
初期,incipience
切,incise
切口,incision
一针见血的,incisive
门牙,incisor
激发,incite,v
无礼,incivility
严酷的,inclement
斜坡,inclination
倾斜,incline,n,斜坡
倾向于,inclined,adj
隐姓埋名的,incognito
不连贯的,incoherent
不成比,incommensurate
不方便的,incommodious
被单独监禁的,incommunicado
不爱交际的,incommunicative
不能和谐共存的,incompatible
不能胜任的,incompetent,无能力的
难以想象的,inconceivable
不调和的,incongruous
不一致,incongruity
不重要的,inconsequential
不体谅别人的,inconsiderate
无所慰籍的,inconsolable
多变的,inconstant
无可争辩的,incontestable
无力控制的,incontinent
合并,incorporate
无形体的,incorporeal
积习难改的,incorrigible
增值,increment
连累,incriminate
孵卵期,incubation
孵卵器,incubator
恶梦,incubus
灌输,inculcate
在职者,incumbent
职责,incumbency,n
招惹,incur
无可救药的,incurable
侵犯,incursion
感激的,indebted
不知疲倦的,indefatigable
模糊的,indefinite
擦试不掉的,indelible
赔偿,indemnify
赔偿,indemnification
切割成锯齿状,indent
锯齿状的,indented
锯齿状,indentation
契约,indenture
无法形容的,indescribable
控诉,indict
不感兴趣的,indifferent
土产的,indigenous
贫穷的,indigent
愤慨的,indignant
愤慨,indignation
看不清的,indiscernible
不谨慎的,indiscreet
不谨慎的鲁莽的,indiscretion
不加选择的,indiscriminate
不可缺乏的,indispensable
不愿意的,indisposed
不可分割的,indivisible
不听话的,indocile
灌输思想,indoctrinate
懒惰的,indolent
坚强不屈的,indomitable
不容置疑的,indubitable
诱导,induce
引诱物,inducement
使就职,induct
就职,induction
使醉,inebriate
妙不可言的,ineffable
抹不掉的,ineffaceable
没有资格的,ineligible
难免的,ineluctable
无能的,inept
无能,ineptitude
惰性的,inert
惰性,inertia
用不完的,inexhaustible
不为所动的,inexorable
不适当的,inexpedient
不能补偿的,inexpiable
无法解释的,inexplicable
无法摆脱的,inextricable
绝不会错的,infallible
绝对可靠,infallibility
恶名昭彰的,infamous
恶名昭彰,infamy
幼稚的,infantile
步兵,infantry
迷恋的,infatuated
迷恋,infatuation
不妥当的,infelicitous
地狱的,infernal
火海,inferno
无法生殖的,infertile
骚扰,infest
不信教者,infidel
不忠实,infidelity
渗透,infiltrate
极微小的,infinitesimal
无限的时间或空间,infinity
虚弱,infirmity
　使燃烧,inflame,v
发炎的,inflamed
可燃的,inflammable
充气的,inflated
膨胀,inflation
痛苦,infliction
告发者,informer
违法,infraction
违反,infringe
违反,infringement
使极为愤怒,infuriate
灌输,infuse
灌输。激励,infusion
聪明的,ingenious
巧思,ingenuity
纯朴的,ingenuous
咽下,ingest
根深蒂固的,ingrained
忘恩负义的人,ingrate
忘恩负义,ingratitude
逢迎,ingratiate
讨好的,ingratiating
成份,ingredient
进入,ingress
吸气,inhale
固有的,inherent
